#options: 1280x720 fps=144/1 timebase=1/144 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3567 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:40.68 aq:35.86 tex:369 mv:998 misc:553 imb:5 pmb:94 smb:3501 d:- ref:0 ;
in:37 out:35 type:P dur:2 cpbdur:2 q:38.79 aq:30.87 tex:23560 mv:7709 misc:2763 imb:359 pmb:658 smb:2583 d:s ref:0 ;
in:35 out:36 type:B dur:2 cpbdur:2 q:39.72 aq:36.54 tex:305 mv:1121 misc:654 imb:6 pmb:114 smb:3480 d:t ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:39.25 aq:39.80 tex:640 mv:1361 misc:639 imb:8 pmb:116 smb:3476 d:- ref:0 ;
in:39 out:38 type:P dur:2 cpbdur:2 q:37.65 aq:31.42 tex:22380 mv:6352 misc:2532 imb:210 pmb:668 smb:2722 d:s ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:38.22 aq:37.96 tex:559 mv:1078 misc:595 imb:5 pmb:98 smb:3497 d:t ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:37.18 aq:28.85 tex:46707 mv:12100 misc:3105 imb:906 pmb:1085 smb:1609 d:s ref:0 ;
in:43 out:41 type:P dur:2 cpbdur:2 q:36.81 aq:28.80 tex:19516 mv:8486 misc:2862 imb:279 pmb:769 smb:2552 d:s ref:0 ;
in:41 out:42 type:B dur:2 cpbdur:2 q:37.06 aq:34.96 tex:526 mv:1717 misc:813 imb:7 pmb:173 smb:3420 d:t ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:36.93 aq:34.53 tex:371 mv:1430 misc:711 imb:6 pmb:123 smb:3471 d:- ref:0 ;
in:46 out:44 type:P dur:2 cpbdur:2 q:36.00 aq:27.79 tex:23579 mv:9224 misc:3109 imb:371 pmb:821 smb:2408 d:s ref:0 ;
in:44 out:45 type:B dur:2 cpbdur:2 q:36.54 aq:32.46 tex:504 mv:1930 misc:942 imb:13 pmb:180 smb:3407 d:t ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:36.27 aq:33.70 tex:348 mv:1825 misc:755 imb:4 pmb:158 smb:3438 d:- ref:0 ;
in:49 out:47 type:P dur:2 cpbdur:2 q:35.22 aq:27.53 tex:27707 mv:11976 misc:3269 imb:419 pmb:990 smb:2191 d:s ref:0 ;
in:47 out:48 type:B dur:2 cpbdur:2 q:35.74 aq:29.83 tex:999 mv:3066 misc:1415 imb:28 pmb:325 smb:3247 d:s ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:35.48 aq:32.98 tex:1101 mv:3644 misc:1231 imb:15 pmb:314 smb:3271 d:- ref:0 ;
in:52 out:50 type:P dur:2 cpbdur:2 q:34.71 aq:26.74 tex:34714 mv:14999 misc:3367 imb:661 pmb:1060 smb:1879 d:s ref:0 ;
in:50 out:51 type:B dur:2 cpbdur:2 q:35.05 aq:28.76 tex:1924 mv:5250 misc:1746 imb:55 pmb:429 smb:3116 d:t ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:34.88 aq:33.75 tex:1786 mv:4582 misc:1576 imb:24 pmb:405 smb:3171 d:- ref:0 ;
in:55 out:53 type:P dur:2 cpbdur:2 q:34.34 aq:26.03 tex:32693 mv:14717 misc:3366 imb:633 pmb:1003 smb:1964 d:t ref:0 ;
in:53 out:54 type:B dur:2 cpbdur:2 q:34.59 aq:29.35 tex:2946 mv:6349 misc:1921 imb:50 pmb:544 smb:3006 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:34.46 aq:33.32 tex:1973 mv:4291 misc:1512 imb:31 pmb:384 smb:3185 d:- ref:0 ;
in:58 out:56 type:P dur:2 cpbdur:2 q:34.17 aq:26.45 tex:38813 mv:14372 misc:3255 imb:717 pmb:949 smb:1934 d:t ref:0 ;
in:56 out:57 type:B dur:2 cpbdur:2 q:34.28 aq:29.71 tex:4295 mv:7510 misc:1955 imb:99 pmb:609 smb:2892 d:s ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:34.23 aq:33.15 tex:2391 mv:4962 misc:1639 imb:39 pmb:439 smb:3122 d:- ref:0 ;
in:61 out:59 type:P dur:2 cpbdur:2 q:34.07 aq:26.34 tex:36280 mv:14455 misc:2865 imb:686 pmb:867 smb:2047 d:t ref:0 ;
in:59 out:60 type:B dur:2 cpbdur:2 q:34.14 aq:30.07 tex:3390 mv:7046 misc:1836 imb:91 pmb:595 smb:2914 d:s ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:34.11 aq:32.56 tex:3488 mv:6170 misc:1654 imb:60 pmb:476 smb:3064 d:- ref:0 ;
in:64 out:62 type:P dur:2 cpbdur:2 q:34.55 aq:26.67 tex:26559 mv:13281 misc:3192 imb:615 pmb:848 smb:2137 d:t ref:0 ;
in:62 out:63 type:B dur:2 cpbdur:2 q:34.23 aq:29.09 tex:2837 mv:4857 misc:1682 imb:73 pmb:380 smb:3147 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:34.39 aq:32.31 tex:2149 mv:4808 misc:1443 imb:37 pmb:403 smb:3160 d:- ref:0 ;
in:67 out:65 type:P dur:2 cpbdur:2 q:34.32 aq:27.36 tex:30333 mv:14108 misc:3191 imb:786 pmb:858 smb:1956 d:t ref:0 ;
in:65 out:66 type:B dur:2 cpbdur:2 q:34.48 aq:29.31 tex:3428 mv:6280 misc:1892 imb:97 pmb:473 smb:3030 d:s ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:34.40 aq:30.74 tex:1868 mv:5219 misc:1609 imb:50 pmb:437 smb:3113 d:- ref:0 ;
in:70 out:68 type:P dur:2 cpbdur:2 q:34.13 aq:26.93 tex:37230 mv:15542 misc:3172 imb:1087 pmb:800 smb:1713 d:t ref:0 ;
in:68 out:69 type:B dur:2 cpbdur:2 q:34.26 aq:28.60 tex:4189 mv:8541 misc:2166 imb:170 pmb:607 smb:2823 d:s ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:34.19 aq:30.09 tex:2688 mv:6001 misc:1711 imb:56 pmb:482 smb:3062 d:- ref:0 ;
in:73 out:71 type:P dur:2 cpbdur:2 q:34.04 aq:27.20 tex:39346 mv:15614 misc:3048 imb:1114 pmb:816 smb:1670 d:s ref:0 ;
in:71 out:72 type:B dur:2 cpbdur:2 q:34.10 aq:28.04 tex:3864 mv:8110 misc:2146 imb:152 pmb:565 smb:2883 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:34.07 aq:31.00 tex:2804 mv:6002 misc:1658 imb:78 pmb:474 smb:3048 d:- ref:0 ;
in:76 out:74 type:P dur:2 cpbdur:2 q:34.03 aq:27.69 tex:38184 mv:14946 misc:3070 imb:1125 pmb:759 smb:1716 d:t ref:0 ;
in:74 out:75 type:B dur:2 cpbdur:2 q:34.03 aq:28.32 tex:4408 mv:8872 misc:2168 imb:177 pmb:638 smb:2785 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:34.03 aq:29.42 tex:2849 mv:6428 misc:1699 imb:100 pmb:461 smb:3039 d:- ref:0 ;
in:79 out:77 type:P dur:2 cpbdur:2 q:34.00 aq:27.35 tex:38963 mv:15605 misc:3000 imb:1139 pmb:770 smb:1691 d:s ref:0 ;
in:77 out:78 type:B dur:2 cpbdur:2 q:34.02 aq:28.36 tex:4581 mv:8401 misc:2090 imb:251 pmb:520 smb:2829 d:s ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:34.01 aq:29.58 tex:2131 mv:6999 misc:1862 imb:103 pmb:514 smb:2983 d:- ref:0 ;
